model,strategy,target,seed,train_s,infer_s,n_test
qwen25_1p5b,ft_6000,TOperacao,42,1148.407,22.724,200
qwen25_1p5b,ft_6000,TOperacao,137,1163.1,21.29,200
qwen25_1p5b,ft_6000,TOperacao,256,1138.515,23.233,200
qwen25_1p5b,ft_6000,TOperacao,512,1126.512,19.055,200
qwen25_1p5b,ft_6000,TOperacao,1024,1138.61,19.206,200
qwen25_1p5b,ft_6000,TOperacao,2048,1131.837,18.342,200
qwen25_1p5b,ft_6000,TOperacao,3141,1318.061,17.866,200
qwen25_1p5b,ft_6000,TOperacao,4096,1305.907,17.414,200
qwen25_1p5b,ft_6000,TOperacao,5000,1101.091,18.649,200
qwen25_1p5b,ft_6000,TOperacao,6273,1102.074,18.366,200
qwen25_1p5b,ft_6000,TOperacao,7777,1119.711,18.807,200
qwen25_1p5b,ft_6000,TOperacao,8192,1380.457,17.174,200
qwen25_1p5b,ft_6000,TOperacao,9001,1100.305,18.118,200
qwen25_1p5b,ft_6000,TOperacao,10240,1099.64,18.472,200
qwen25_1p5b,ft_6000,TOperacao,11111,1118.964,18.756,200
qwen25_1p5b,ft_6000,TOperacao,12345,1116.093,20.833,200
qwen25_1p5b,ft_6000,TOperacao,13579,1348.763,17.474,200
qwen25_1p5b,ft_6000,TOperacao,14641,1360.753,17.487,200
qwen25_1p5b,ft_6000,TOperacao,15360,1102.265,18.346,200
qwen25_1p5b,ft_6000,TOperacao,16384,1106.29,18.204,200
qwen25_1p5b,ft_6000,TAtracado,42,1103.017,18.541,200
qwen25_1p5b,ft_6000,TAtracado,137,1365.004,17.934,200
qwen25_1p5b,ft_6000,TAtracado,256,1102.351,18.567,200
qwen25_1p5b,ft_6000,TAtracado,512,1098.731,18.548,200
qwen25_1p5b,ft_6000,TAtracado,1024,1132.566,19.635,200
qwen25_1p5b,ft_6000,TAtracado,2048,1158.676,21.734,200
qwen25_1p5b,ft_6000,TAtracado,3141,1159.954,21.77,200
qwen25_1p5b,ft_6000,TAtracado,4096,1155.79,21.846,200
qwen25_1p5b,ft_6000,TAtracado,5000,1147.649,19.529,200
qwen25_1p5b,ft_6000,TAtracado,6273,1155.597,19.526,200
qwen25_1p5b,ft_6000,TAtracado,7777,1151.229,21.904,200
qwen25_1p5b,ft_6000,TAtracado,8192,1158.37,21.851,200
qwen25_1p5b,ft_6000,TAtracado,9001,1153.816,21.323,200
qwen25_1p5b,ft_6000,TAtracado,10240,1141.856,19.286,200
qwen25_1p5b,ft_6000,TAtracado,11111,1158.498,19.577,200
qwen25_1p5b,ft_6000,TAtracado,12345,1153.638,19.185,200
qwen25_1p5b,ft_6000,TAtracado,13579,1354.235,18.174,200
qwen25_1p5b,ft_6000,TAtracado,14641,1153.321,22.546,200
qwen25_1p5b,ft_6000,TAtracado,15360,1146.856,19.092,200
qwen25_1p5b,ft_6000,TAtracado,16384,1153.524,19.441,200
