rmse,r2,mae,best_iter,model,target,seed
19.207353391771765,0.7216423749923706,7.730388164520264,1421,xgboost,TOperacao,0
18.798953834806955,0.7333537936210632,7.725103378295898,1306,xgboost,TOperacao,1
19.065413455636754,0.7257412672042847,7.683792591094971,1024,xgboost,TOperacao,2
18.961912830292036,0.7287108898162842,7.672442436218262,1871,xgboost,TOperacao,3
18.97830246242979,0.7282416820526123,7.693361759185791,1384,xgboost,TOperacao,4
19.267444187477956,0.719897985458374,7.765829086303711,1493,xgboost,TOperacao,5
19.176731728710237,0.7225292921066284,7.7319769859313965,1225,xgboost,TOperacao,6
18.782544997471224,0.7338191270828247,7.660717964172363,1170,xgboost,TOperacao,7
19.06598969082447,0.7257246971130371,7.77197265625,1225,xgboost,TOperacao,8
18.962398867252563,0.7286970019340515,7.701443672180176,1245,xgboost,TOperacao,9
19.400450302089077,0.716017484664917,7.912049770355225,952,xgboost,TOperacao,10
19.093341629481156,0.7249371409416199,7.762635707855225,1506,xgboost,TOperacao,11
19.274517349157378,0.7196922302246094,7.740088939666748,930,xgboost,TOperacao,12
19.173268560548614,0.7226294279098511,7.809481143951416,1011,xgboost,TOperacao,13
19.20289615404731,0.7217715978622437,7.729564189910889,1567,xgboost,TOperacao,14
19.301150842064445,0.7189171314239502,7.946226596832275,818,xgboost,TOperacao,15
18.88846254553251,0.7308085560798645,7.6452717781066895,1572,xgboost,TOperacao,16
19.1676483345188,0.7227920293807983,7.701662063598633,1800,xgboost,TOperacao,17
18.94879961464413,0.7290860414505005,7.687580108642578,1459,xgboost,TOperacao,18
19.263420678080596,0.7200149297714233,7.934064865112305,882,xgboost,TOperacao,19
20.955067111476506,0.7283353805541992,10.699021339416504,565,xgboost,TAtracado,0
20.812135618760315,0.7320287227630615,10.69755744934082,642,xgboost,TAtracado,1
20.982107623688123,0.7276338338851929,10.7788724899292,534,xgboost,TAtracado,2
20.810716890583084,0.7320652008056641,10.6340913772583,603,xgboost,TAtracado,3
21.133999504556485,0.7236761450767517,10.758342742919922,532,xgboost,TAtracado,4
20.89433151837142,0.7299078702926636,10.750970840454102,487,xgboost,TAtracado,5
21.11690497059428,0.7241230010986328,10.809426307678223,497,xgboost,TAtracado,6
20.896871290610182,0.7298421859741211,10.714509010314941,587,xgboost,TAtracado,7
20.73249611753664,0.7340756058692932,10.576711654663086,518,xgboost,TAtracado,8
21.058194860927212,0.7256548404693604,10.690546989440918,619,xgboost,TAtracado,9
21.05151587892856,0.7258288860321045,10.635019302368164,622,xgboost,TAtracado,10
20.923084910637208,0.7291640043258667,10.822011947631836,465,xgboost,TAtracado,11
20.95801234015287,0.7282589673995972,10.673996925354004,611,xgboost,TAtracado,12
21.157104655235276,0.7230716347694397,10.760298728942871,482,xgboost,TAtracado,13
20.986575240663523,0.72751784324646,10.773014068603516,476,xgboost,TAtracado,14
21.293902832772638,0.7194789052009583,10.93233871459961,447,xgboost,TAtracado,15
20.586592731507775,0.7378052473068237,10.533095359802246,564,xgboost,TAtracado,16
20.749196232314866,0.7336470484733582,10.688007354736328,628,xgboost,TAtracado,17
21.026370974735215,0.7264834642410278,10.858193397521973,446,xgboost,TAtracado,18
21.017468407767012,0.7267149686813354,10.660077095031738,684,xgboost,TAtracado,19
