rmse,r2,mae,model,target,seed
19.64278932237683,0.7088784575462341,8.405770301818848,mlp,TOperacao,0
20.13803379859706,0.6940135955810547,8.155013084411621,mlp,TOperacao,1
20.784360082125154,0.6740572452545166,8.839097023010254,mlp,TOperacao,2
20.62349589094128,0.6790831089019775,8.64651107788086,mlp,TOperacao,3
19.65073917930236,0.7086427211761475,7.928640365600586,mlp,TOperacao,4
20.70576265626877,0.6765177249908447,8.398438453674316,mlp,TOperacao,5
20.507570683098123,0.6826807260513306,8.416006088256836,mlp,TOperacao,6
21.33592033595062,0.6565284729003906,8.85831069946289,mlp,TOperacao,7
20.846946642762145,0.6720912456512451,8.58204460144043,mlp,TOperacao,8
20.348354773597485,0.6875887513160706,8.356327056884766,mlp,TOperacao,9
21.15763185572023,0.6622446775436401,8.892319679260254,mlp,TOperacao,10
20.47235625436087,0.6837695240974426,8.53995132446289,mlp,TOperacao,11
19.58271734472812,0.7106564044952393,8.377615928649902,mlp,TOperacao,12
21.137217222337874,0.6628961563110352,8.704442977905273,mlp,TOperacao,13
21.213235085046257,0.6604671478271484,8.422823905944824,mlp,TOperacao,14
20.616530280354677,0.6792998313903809,8.816514015197754,mlp,TOperacao,15
20.74906239057299,0.6751633882522583,8.795267105102539,mlp,TOperacao,16
20.764409588678564,0.6746826767921448,8.866036415100098,mlp,TOperacao,17
20.66692885365863,0.6777299642562866,8.176963806152344,mlp,TOperacao,18
20.402040476757083,0.6859381198883057,8.479218482971191,mlp,TOperacao,19
23.43788280937375,0.6601464748382568,11.7164888381958,mlp,TAtracado,0
21.98619617545575,0.7009421586990356,11.196136474609375,mlp,TAtracado,1
22.890743653702717,0.6758285760879517,11.624759674072266,mlp,TAtracado,2
24.207960046022954,0.6374471187591553,12.16198444366455,mlp,TAtracado,3
22.97331082482249,0.6734857559204102,11.484423637390137,mlp,TAtracado,4
22.570464612026363,0.6848365068435669,11.840821266174316,mlp,TAtracado,5
22.114026122965203,0.697454571723938,11.889077186584473,mlp,TAtracado,6
22.36409625971217,0.6905733346939087,10.978534698486328,mlp,TAtracado,7
22.416660162299628,0.6891171336174011,11.3192777633667,mlp,TAtracado,8
24.342937646907984,0.6333928108215332,12.526062965393066,mlp,TAtracado,9
23.311888658622905,0.6637905836105347,12.4141206741333,mlp,TAtracado,10
23.23770965268186,0.6659268140792847,11.736855506896973,mlp,TAtracado,11
22.953896132383495,0.6740373373031616,11.564379692077637,mlp,TAtracado,12
22.79968871857821,0.6784024238586426,11.817975997924805,mlp,TAtracado,13
23.461156030450763,0.6594712734222412,11.942776679992676,mlp,TAtracado,14
23.616900635042455,0.6549351215362549,11.9177885055542,mlp,TAtracado,15
23.39801622116579,0.6613016128540039,11.896925926208496,mlp,TAtracado,16
22.733644747721932,0.6802628040313721,12.113550186157227,mlp,TAtracado,17
23.39112599663866,0.6615011096000671,11.649340629577637,mlp,TAtracado,18
23.492726600482115,0.658554196357727,12.087267875671387,mlp,TAtracado,19
