rmse,r2,mae,model,target,seed
26.34391445026788,0.47636504780954214,10.454689462118777,svm,TOperacao,0
26.29539951453589,0.47829192348313654,10.289029569914966,svm,TOperacao,1
26.236066491050682,0.4806436348236047,10.321351839009154,svm,TOperacao,2
26.224368291548096,0.4811066752636045,10.441144560895312,svm,TOperacao,3
26.344536758935906,0.4763403084019583,10.339394771687553,svm,TOperacao,4
26.18138297977905,0.4828063547979431,10.231306484315098,svm,TOperacao,5
26.37476243902032,0.47513800597777156,10.350963373017382,svm,TOperacao,6
26.178522429861733,0.48291936467355956,10.307504956474068,svm,TOperacao,7
26.355705715230016,0.47589619567619135,10.502423737552471,svm,TOperacao,8
26.292404194326917,0.47841077269407806,10.419809438551315,svm,TOperacao,9
26.283838273563124,0.47875057913794716,10.35654617632953,svm,TOperacao,10
26.31521229540585,0.47750544507983883,10.327146588359637,svm,TOperacao,11
26.349926606698293,0.4761260146555186,10.412187639550083,svm,TOperacao,12
26.27933084630423,0.47892934240425156,10.343214025592342,svm,TOperacao,13
26.330766967241164,0.47688757939736937,10.356123141846938,svm,TOperacao,14
26.348967971627598,0.4761641320170692,10.339312626752545,svm,TOperacao,15
26.42111499377358,0.47329153833967086,10.291096297726185,svm,TOperacao,16
26.20350986850256,0.4819317851025343,10.283391147488935,svm,TOperacao,17
26.340929385043072,0.4764837086814184,10.407226107833585,svm,TOperacao,18
26.254280812300355,0.4799222608801478,10.274852029417648,svm,TOperacao,19
28.672071458190846,0.491403775131362,13.67300735584367,svm,TAtracado,0
28.719554180548517,0.4897178467231058,13.754164977798128,svm,TAtracado,1
28.712370608409582,0.4899730867727997,13.715530559895635,svm,TAtracado,2
28.69247207053361,0.4906797698454317,13.817597148940504,svm,TAtracado,3
28.77380785964099,0.48778809298269965,13.772253918130941,svm,TAtracado,4
28.568223039124604,0.49508130950283247,13.601483067242162,svm,TAtracado,5
28.772839936766385,0.48782255302254274,13.78542443345625,svm,TAtracado,6
28.565674987321746,0.4951713747198806,13.677990408181515,svm,TAtracado,7
28.63082647390693,0.49286596146255235,13.784432497370297,svm,TAtracado,8
28.77909634137497,0.48759979171499934,13.973003088117448,svm,TAtracado,9
28.670609898204617,0.49145562523549613,13.703766882110253,svm,TAtracado,10
28.670519812928898,0.4914588210020603,13.739053759136068,svm,TAtracado,11
28.77435944997557,0.48776845471677455,13.939656696319581,svm,TAtracado,12
28.62234357213151,0.4931664299756896,13.60666716988927,svm,TAtracado,13
28.684103200788638,0.49097683822154625,13.799791122104098,svm,TAtracado,14
28.724707930652656,0.4895346890981621,13.719452133810995,svm,TAtracado,15
28.73494096043497,0.4891709230202995,13.732897862324569,svm,TAtracado,16
28.452481392189174,0.4991642892680054,13.44974718737967,svm,TAtracado,17
28.614985185758716,0.4934269954900743,13.678567872524766,svm,TAtracado,18
28.671014048862308,0.49144128790588537,13.723893539585124,svm,TAtracado,19
