rmse,r2,mae,model,target,seed
24.98861923573597,0.5288572311401367,11.706317901611328,linear_regression,TOperacao,0
25.216494245458666,0.5202251672744751,11.96957015991211,linear_regression,TOperacao,1
25.24748474283812,0.5190451741218567,11.687827110290527,linear_regression,TOperacao,2
25.707270752284266,0.5013681650161743,11.989609718322754,linear_regression,TOperacao,3
25.333664473661575,0.5157562494277954,11.9878568649292,linear_regression,TOperacao,4
25.207813032681454,0.5205554962158203,11.931021690368652,linear_regression,TOperacao,5
25.174584496865958,0.5218186378479004,11.805471420288086,linear_regression,TOperacao,6
24.935166175645016,0.5308706760406494,11.879751205444336,linear_regression,TOperacao,7
24.867841601120865,0.5334005355834961,11.787402153015137,linear_regression,TOperacao,8
25.109822257995475,0.5242756605148315,11.730130195617676,linear_regression,TOperacao,9
25.2178666008534,0.5201729536056519,11.890312194824219,linear_regression,TOperacao,10
25.11741470542649,0.5239880084991455,11.890491485595703,linear_regression,TOperacao,11
24.846395790719075,0.5342050194740295,11.697038650512695,linear_regression,TOperacao,12
24.990731924633707,0.528777539730072,11.704995155334473,linear_regression,TOperacao,13
25.605904661144567,0.5052927732467651,12.075613021850586,linear_regression,TOperacao,14
25.07835986066037,0.5254671573638916,11.574462890625,linear_regression,TOperacao,15
25.205919521141258,0.520627498626709,11.833276748657227,linear_regression,TOperacao,16
24.979820957687526,0.529188871383667,11.753437042236328,linear_regression,TOperacao,17
25.168731133203135,0.5220409631729126,11.723026275634766,linear_regression,TOperacao,18
25.048291980738803,0.5266042947769165,11.658099174499512,linear_regression,TOperacao,19
27.517698938734185,0.5315327644348145,15.258122444152832,linear_regression,TAtracado,0
27.902519566242244,0.5183386206626892,15.574747085571289,linear_regression,TAtracado,1
27.834035289691872,0.5207000970840454,15.3021879196167,linear_regression,TAtracado,2
28.273342515038017,0.5054510831832886,15.548315048217773,linear_regression,TAtracado,3
27.893512411813052,0.5186495780944824,15.603928565979004,linear_regression,TAtracado,4
27.687098790829005,0.5257471799850464,15.391822814941406,linear_regression,TAtracado,5
27.607875021152818,0.5284574031829834,15.501363754272461,linear_regression,TAtracado,6
27.51954649795532,0.5314698219299316,15.358777046203613,linear_regression,TAtracado,7
27.601420976852012,0.5286778211593628,15.253527641296387,linear_regression,TAtracado,8
27.59374557616046,0.528939962387085,15.310185432434082,linear_regression,TAtracado,9
27.751684739117643,0.5235320329666138,15.43798828125,linear_regression,TAtracado,10
27.76266053216476,0.5231550931930542,15.371789932250977,linear_regression,TAtracado,11
27.205835232595323,0.5420910716056824,15.129441261291504,linear_regression,TAtracado,12
27.553671878433462,0.5303071737289429,15.26190185546875,linear_regression,TAtracado,13
27.897479243554088,0.5185126066207886,15.551538467407227,linear_regression,TAtracado,14
27.946723388342527,0.5168112516403198,15.44384479522705,linear_regression,TAtracado,15
27.845902519210522,0.5202913284301758,15.342031478881836,linear_regression,TAtracado,16
27.70766319286733,0.5250424742698669,15.458110809326172,linear_regression,TAtracado,17
27.754128088926926,0.52344810962677,15.436193466186523,linear_regression,TAtracado,18
27.566484574158956,0.5298702120780945,15.231881141662598,linear_regression,TAtracado,19
