rmse,r2,mae,model,target,seed
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,0
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,1
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,2
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,3
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,4
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,5
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,6
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,7
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,8
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,9
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,10
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,11
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,12
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,13
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,14
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,15
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,16
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,17
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,18
22.170854368906618,0.6291204690933228,9.619345664978027,knn,TOperacao,19
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,0
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,1
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,2
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,3
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,4
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,5
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,6
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,7
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,8
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,9
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,10
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,11
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,12
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,13
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,14
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,15
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,16
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,17
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,18
23.124736062682963,0.6691672205924988,12.129321098327637,knn,TAtracado,19
